movieCd,movieNm,movieNmEn,prdtYear,openDt,prdtStatNm,nationAlt,genreAlt,repNationNm,directors,companys
20232836,몬스터 패밀리 2,Monster Family 2,2021,20230802,개봉예정,영국,애니메이션,영국,[{'peopleNm': '호거 태프'}],[]
20232173,섹스를 너무 좋아하는 그녀,,2023,20230713,개봉,한국,성인물(에로),한국,[{'peopleNm': '이만억'}],"[{'companyCd': '20217881', 'companyNm': '(주)샤이커뮤니케이션즈'}]"
20231812,레깅스 마니아,,2023,20230713,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,[{'peopleNm': '윤준세'}],"[{'companyCd': '20114899', 'companyNm': '(주)영진크리에이티브'}]"
20232163,갑질하는 사장과 계약직 여직원,,2023,20230713,개봉,한국,성인물(에로),한국,[{'peopleNm': '여희주'}],"[{'companyCd': '20217881', 'companyNm': '(주)샤이커뮤니케이션즈'}]"
20227552,비닐하우스,Greenhouse,2022,20230726,개봉예정,한국,범죄,한국,[{'peopleNm': '이솔희'}],"[{'companyCd': '20100572', 'companyNm': '한국영화아카데미'}]"
20232629,마야 3: 숲속 왕국의 위기,Maya the Bee 3: The Golden Orb (2021),2021,20230824,개봉예정,독일,애니메이션,독일,[{'peopleNm': '노엘 클리어리'}],[]
20223831,스파이 코드명 포춘,Operation Fortune: Ruse de guerre,2023,20230830,개봉예정,미국,액션,미국,[{'peopleNm': '가이 리치'}],[]
20211937,귀공자,The Childe,2022,20230621,개봉,한국,액션,한국,[{'peopleNm': '박훈정'}],"[{'companyCd': '20161022', 'companyNm': '(주)영화사 금월'}, {'companyCd': '20161781', 'companyNm': '(주)스튜디오앤뉴'}]"
20193879,비공식작전,Ransomed,2022,20230802,개봉예정,한국,드라마,한국,[{'peopleNm': '김성훈'}],"[{'companyCd': '20141672', 'companyNm': '(주)와인드업필름'}, {'companyCd': '20142550', 'companyNm': '와이낫필름'}]"
20192995,보호자,A Man of Reason,2021,20230815,개봉예정,한국,"액션,드라마",한국,[{'peopleNm': '정우성'}],"[{'companyCd': '20169408', 'companyNm': '(주)영화사테이크'}]"
